                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1855,                 3.8826,                 1.5488,                0.00383,                      1,                0.09846,                0.05757,                0.95896,                 3.2402,                 1.4638,             0.00015453,             0.00015453,             0.00015453
                      2,                 1.0536,                 3.2924,                 1.4635,                0.00421,                      1,                0.16882,                0.11181,                0.95537,                 3.1842,                 1.4434,               0.000315,               0.000315,               0.000315
                      3,                 1.1171,                 3.0102,                 1.4809,                0.33137,                0.24504,                0.19159,                0.10914,                 1.1873,                  2.837,                 1.6492,             0.00047223,             0.00047223,             0.00047223
                      4,                 1.1456,                 2.8526,                 1.4771,                0.56602,                0.23265,                0.22998,                0.14934,                 1.2913,                 2.7961,                 1.7507,             0.00062622,             0.00062622,             0.00062622
                      5,                 1.1437,                 2.7821,                 1.4862,                0.13242,                0.78878,                0.22891,                0.14636,                 1.2422,                 3.2465,                 1.7931,             0.00077697,             0.00077697,             0.00077697
                      6,                 1.1987,                  2.655,                 1.4704,                0.20615,                0.30612,                 0.1375,                0.07363,                 1.4504,                 3.4662,                 1.8952,               0.000864,               0.000864,               0.000864
                      7,                 1.1705,                  2.682,                 1.4388,                 0.1895,                0.68163,                0.16633,                0.10472,                 1.3449,                 2.9086,                 1.8142,             0.00085501,             0.00085501,             0.00085501
                      8,                 1.1786,                 2.5885,                  1.433,                0.20419,                0.51837,                 0.1596,                0.09813,                 1.4025,                 2.8058,                 1.8627,             0.00084601,             0.00084601,             0.00084601
                      9,                 1.1634,                 2.5328,                 1.4038,                0.18927,                 0.3948,                0.20492,                0.13194,                 1.2878,                 2.6812,                 1.7329,             0.00083701,             0.00083701,             0.00083701
                     10,                  1.126,                 2.4399,                 1.3971,                0.13829,                0.72806,                 0.2337,                0.15965,                 1.3122,                 2.5478,                 1.7594,             0.00082801,             0.00082801,             0.00082801
                     11,                 1.1346,                 2.4041,                  1.388,                0.12423,                0.86633,                0.21511,                0.13736,                 1.2604,                 2.8879,                 1.7101,             0.00081901,             0.00081901,             0.00081901
                     12,                 1.1114,                 2.3377,                 1.3287,                0.31022,                0.28571,                0.27109,                0.18589,                 1.2389,                 2.9127,                 1.6519,             0.00081001,             0.00081001,             0.00081001
                     13,                 1.1106,                 2.3252,                 1.3527,                0.29362,                0.60408,                0.29259,                0.19608,                 1.2354,                 2.4324,                 1.5616,             0.00080101,             0.00080101,             0.00080101
                     14,                 1.1155,                 2.2403,                 1.3337,                 0.1539,                0.74603,                0.30502,                0.19854,                 1.3248,                 2.4728,                 1.6852,             0.00079201,             0.00079201,             0.00079201
                     15,                  1.121,                 2.1665,                 1.3386,                0.20415,                0.77863,                0.31598,                0.19213,                  1.272,                 2.4973,                 1.7759,             0.00078301,             0.00078301,             0.00078301
